id,taxa__id,tags,mime_type,src,creator,date,place,gps,permission,source,source_url,comments
af887af8e80aa4a29f936a6e4d55ac89,canisaureus,general;thumbnail1,image/jpeg,,D. Gordon E. Robertson,2009-07-01,"Serengeti National Park, Tanzania",,http://creativecommons.org/licenses/by-sa/3.0/,"http://commons.wikimedia.org/wiki/File:Golden_Jackal,_Serengeti.jpg",http://upload.wikimedia.org/wikipedia/commons/2/26/Golden_Jackal%2C_Serengeti.jpg,
123c6686ab5761d5e8ec86bf5b08cc42,canisaureus,"gen,eating;thumbnail2",image/jpeg,,David Bygott,1977-01-01,"Ngorongoro, Tanzania",-3.494 35.315,http://creativecommons.org/licenses/by-nc-sa/2.0/,https://www.flickr.com/photos/davidbygott/4067440134/sizes/o/,https://farm3.staticflickr.com/2563/4067440134_bb9c1bfa66_o.jpg,"Golden jackal feeding, Ngorongoro, Tanzania"
13bb497d8596577be0e13d3ea1fc03cb,capsicumfrutescens,general;leaf;fruit;thumbnail1,image/jpeg,,Marco Schmidt,2007-05-11,Senegal,,http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/21918425,http://media.eol.org/content/2012/08/24/09/21318_orig.jpg,
81527764f378d05a91a095584021448c,caracalcaracal,general;female;thumbnail2,image/jpeg,,David Bygott,1986-08-01,"Near Ndutu, Serengeti NP, Tanzania",-3.369 34.117,http://creativecommons.org/licenses/by-nc-sa/2.0/,https://www.flickr.com/photos/davidbygott/3450821618/sizes/o/,https://farm4.staticflickr.com/3622/3450821618_e88e40a119_o.jpg,Adult female caracal.
2e4f62c2e0170134f560972424be8e14,cardiospermumhalicacabum,general;thumbnail1,image/jpeg,,Valter Jacinto,2011-10-01,"Algarve, Portugal",37.073 -7.735,http://creativecommons.org/licenses/by-nc-sa/2.0/,https://www.flickr.com/photos/valter/6204105982/sizes/o/,https://farm7.staticflickr.com/6156/6204105982_404faf1270_o.jpg,Balloon Vine; Love in a Puff (Cardiospermum halicacabum)
c74338c1b27caa8dc7d419d5ba264e9e,cassythafiliformis,general;thumbnail1,image/jpeg,,David Eickhoff,2011-08-06,"Barbers Point, Oʻahu, Hawaii",21.334 -158.081,http://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/dweickhoff/6016173263/sizes/o/,https://farm7.staticflickr.com/6130/6016173263_39580a43f4_o.jpg,"Kaunaʻoa pehu, Love vine or Devil's gut"
7b8399fc9d89667657b12833024123b8,cassythafiliformis,leaf;thumbnail2,image/jpeg,,David Eickhoff,2011-08-06,"Barbers Point, Oʻahu, Hawaii",21.334 -158.081,http://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/dweickhoff/6016714856/sizes/o/,https://farm7.staticflickr.com/6022/6016714856_14eb405421_o.jpg,"Kaunaʻoa pehu, Love vine or Devil's gut"
c148277cca684c0f70c199e361dcfc4e,ceibapentandra,fruit;thumbnail2,image/jpeg,,Reinaldo Aguilar,2005-01-02,"Osa peninsula, Costa Rica ?",8.666 -83.5,http://creativecommons.org/licenses/by-nc-sa/2.0/,https://www.flickr.com/photos/plantaspinunsulaosa/6576502245/sizes/o/,https://farm8.staticflickr.com/7032/6576502245_f7d4dbe984_o.jpg,Ceiba pentandra (L.) Gaertn.
8ccf36e4c1647d6f63db582e045acee1,ceibapentandra,bark;thumbnail4,image/jpeg,,Marco Schmidt,2006-10-12,Burkina Faso,,http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/21916434,http://media.eol.org/content/2012/08/24/08/57487_orig.jpg,
6c91e3f0d3f3816772c10b2f75a56404,celosiaargentea,general;thumbnail1,image/jpeg,,Marco Schmidt,2004-10-02,Burkina Faso,,http://creativecommons.org/licenses/by-nc-sa/3.0/,http://media.eol.org/data_objects/21916444,http://media.eol.org/content/2012/08/24/08/80176_orig.jpg,
