id,scientific_name,synonyms,description,english_name,kingdom,phylum,class_,order,family,genus,characteristics,biotope,countries__ids,domesticated/cultivated,endemic,general_uses,notes,refs__ids,links
cynanchumschistoglossum,Cynanchum schistoglossum,,,,Plantae,,,,,Cynanchum,,,,,,,,[PROTA],
cynanchumviminale,Cynanchum viminale,Sarcostemma viminale,,Milk rope,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Cynanchum,,,,,,,,,
cynictispenicillata,Cynictis penicillata,,"(G.[Baron] Cuvier, 1829)",Yellow mongoose,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Cynictis,carnivore; the colour varies from yellowish-red to grey; the underside is slightly lighter;,"savanna, shrubland, grassland, semi-arid desert","BW,NA,ZA,ZW",,,,,,
cynodondactylon,Cynodon dactylon,,(L.) Pers.,Scutch-grass,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cynodon,,,"AU,DE,FR,MX,NL,PT,SA,SE,US",,,,,,
cynoglossumamabile,Cynoglossum amabile,,,,Plantae,,,,,Cynoglossum,,,,,,,,[PROTA],
cynoglossumcoeruleum,Cynoglossum coeruleum,,,,Plantae,,,,,Cynoglossum,,,,,,,,[PROTA],
cynoglossumlanceolatum,Cynoglossum lanceolatum,,,,Plantae,,,,,Cynoglossum,,,,,,,,[PROTA],
cynoglossummonophlebium,Cynoglossum monophlebium,,,,Plantae,,,,,Cynoglossum,,,,,,,,[PROTA],
cynometraabrahamii,Cynometra abrahamii,,,,Plantae,,,,,Cynometra,,,,,,,,[PROTA],
cynometraalexandri,Cynometra alexandri,,,,Plantae,,,,,Cynometra,,,,,,,,[PROTA],
cynometraananta,Cynometra ananta,,,,Plantae,,,,,Cynometra,,,,,,,,[PROTA],
cynometraaurita,Cynometra aurita,,,,Plantae,,,,,Cynometra,,,,,,,,[PROTA],
cynometracommersoniana,Cynometra commersoniana,,,,Plantae,,,,,Cynometra,,,,,,,,[PROTA],
cynometradauphinensis,Cynometra dauphinensis,,,,Plantae,,,,,Cynometra,,,,,,,,[PROTA],
cynometrahankei,Cynometra hankei,,,,Plantae,,,,,Cynometra,,,,,,,,[PROTA],
cynometralujae,Cynometra lujae,,,,Plantae,,,,,Cynometra,,,,,,,,[PROTA],
cynometramadagascariensis,Cynometra madagascariensis,,,,Plantae,,,,,Cynometra,,,,,,,,[PROTA],
cynometramannii,Cynometra mannii,,,,Plantae,,,,,Cynometra,,,,,,,,[PROTA],
cynometramegalophylla,Cynometra megalophylla,,,,Plantae,,,,,Cynometra,,,,,,,,[PROTA],
cynometrasakalava,Cynometra sakalava,,,,Plantae,,,,,Cynometra,,,,,,,,[PROTA],
cynometravogelii,Cynometra vogelii,,Hook.f.,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cynometra,,,"GN,ML",,,,,,
cynometrawebberi,Cynometra webberi,,,,Plantae,,,,,Cynometra,,,,,,,,[PROTA],
cynomoriumcoccineum,Cynomorium coccineum,,,,Plantae,,,,,Cynomorium,,,,,,,,[PROTA],
cyperaceae,Cyperaceae,,,sedge family,Plantae,Tracheophyta,Liliopsida,Poales,,,,,,,,,,,
cyperusamabilis,Cyperus amabilis,,Vahl,foothill flatsedge,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,,,"BF,BJ,GN,ML,NG,SN",,,,,,
cyperusarticulatus,Cyperus articulatus,,L.,jointed flatsedge,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,,,BW,,,,,,
cyperusconglomeratus,Cyperus conglomeratus,,Rottb.,,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,,,BF,,,,,,
cyperusdenudatus,Cyperus denudatus,,L.f.,Cyperus sp.,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,,,,,,,,,
cyperusesculentus,Cyperus esculentus,,L.,Yellow Nut Sedge,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,,,"BE,BF,DE,ES,FR,NG,NL,SN,US",,,,,,
cyperusfulgens,Cyperus fulgens,,C.B.Clarke,,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,,,,,,,,,
cyperusimbricatus,Cyperus imbricatus,,Retz.,shingle flatsedge,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,,,,,,,,,
cyperusiria,Cyperus iria,,L.,ricefield flatsedge,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,,,"AU,BF,US",,,,,,
cyperuslatifolius,Cyperus latifolius,,,,Plantae,,,,,Cyperus,,,,,,,,[PROTA],
cyperusligularis,Cyperus ligularis,,,,Plantae,,,,,Cyperus,,,,,,,,[PROTA],
cyperuslongus,Cyperus longus,,L.,Galingale,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,,,"BW,ZA",,,,,,
cyperusmaculatus,Cyperus maculatus,,Boeckeler,,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,,,,,,,,,
cyperusmargaritaceus,Cyperus margaritaceus,,,Nut-gras,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,small sedge; up to 50 cm tall; light-coloured inflorescence,"rocky area, sandy soil","BW,NA,ZA",,,,,,
cyperuspapyrus,Cyperus papyrus,,,,Plantae,,,,,Cyperus,,,,,,,,[PROTA],
cyperusrotundus,Cyperus rotundus,,L.,nutgrass,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,,,"AU,CO,ES,FR,LK,SG",,,,,,
cyperusspp.,Cyperus spp.,,,,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,,,,,,,,,
cyperussquarrosus,Cyperus squarrosus,,L.,bearded flatsedge,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,,,"AU,BF,BJ,ML,MX,NG,SN",,,,,,
cyperususitatus,Cyperus usitatus,,Burch.,Indian grass,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Cyperus,"sedge with many thin, linear leaves with a single peduncle ending in a tuft of compressed brown buds, bulb is edible",,"BW,NA,ZA",,,,,,
cyphostemmaadenocaule,Cyphostemma adenocaule,,,,Plantae,,,,,Cyphostemma,,,,,,,,[PROTA],
cyphostemmacongestum,Cyphostemma congestum,,(Bak.) Descoings ex Wild & R. B.Drumm.,,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Cyphostemma,,,,,,,,,
cyphostemmacymosumdesc.,Cyphostemma cymosum Desc.,,,,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Cyphostemma,,,,,,,,,
cyphostemmahereroense,Cyphostemma hereroense,,(Schinz) Descoings ex Wild & R. B.Drumm.,Herero grape,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Cyphostemma,"creeping, perennial herb; up to 50 cm tall; dissected, 5-lobed, succulent leaves; fruit is a bright red grape",savanna,,,,,,,
cypsiurusparvus,Cypsiurus parvus,,"(Lichtenstein, 1823)",African Palm Swift,Animalia,Chordata,Aves,Apodiformes,Apodidae,Cypsiurus,,,"BJ,CM,ET,GH,GM,GW,KE,LR,MZ,NG,SN,TZ,UG,ZA",,,,,,
cyrtogononeargentea,Cyrtogonone argentea,,,,Plantae,,,,,Cyrtogonone,,,,,,,,[PROTA],
dacryodesbuettneri,Dacryodes buettneri,,,,Plantae,,,,,Dacryodes,,,,,,,,[PROTA],
dacryodesedulis,Dacryodes edulis,,,,Plantae,,,,,Dacryodes,,,,,,,,[PROTA],
dacryodesheterotricha,Dacryodes heterotricha,,,,Plantae,,,,,Dacryodes,,,,,,,,[PROTA],
dacryodesigaganga,Dacryodes igaganga,,,,Plantae,,,,,Dacryodes,,,,,,,,[PROTA],
dacryodesklaineana,Dacryodes klaineana,,,,Plantae,,,,,Dacryodes,,,,,,,,[PROTA],
dacryodesnormandii,Dacryodes normandii,,,,Plantae,,,,,Dacryodes,,,,,,,,[PROTA],
dacryodespubescens,Dacryodes pubescens,,,,Plantae,,,,,Dacryodes,,,,,,,,[PROTA],
dactyladeniabarteri,Dactyladenia barteri,,,,Plantae,,,,,Dactyladenia,,,,,,,,[PROTA],
dactyladeniascabrifolia,Dactyladenia scabrifolia,,,,Plantae,,,,,Dactyladenia,,,,,,,,[PROTA],
dactylocteniumaegyptium,Dactyloctenium aegyptium,,(L.) Willd.,Helicopter grass,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Dactyloctenium,,,"BF,BJ,EG,ML,NG,SG,SN,US",,,,,,
dactylocteniumgiganteum,Dactyloctenium giganteum,,B.S.Fisher & Schweick.,,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Dactyloctenium,,,,,,,,,
daiscotinifolia,Dais cotinifolia,,,,Plantae,,,,,Dais,,,,,,,,[PROTA],
daisglaucescens,Dais glaucescens,,,,Plantae,,,,,Dais,,,,,,,,[PROTA],
dalbergiabaronii,Dalbergia baronii,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiabathiei,Dalbergia bathiei,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiachapelieri,Dalbergia chapelieri,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiachlorocarpa,Dalbergia chlorocarpa,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiadavidii,Dalbergia davidii,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiaealaensis,Dalbergia ealaensis,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiaerubescens,Dalbergia erubescens,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiaglaberrima,Dalbergia glaberrima,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiagreveana,Dalbergia greveana,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiahildebrandtii,Dalbergia hildebrandtii,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiahostilis,Dalbergia hostilis,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiahumbertii,Dalbergia humbertii,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergialatifolia,Dalbergia latifolia,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergialemurica,Dalbergia lemurica,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergialouvelii,Dalbergia louvelii,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiamadagascariensis,Dalbergia madagascariensis,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiamaritima,Dalbergia maritima,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiamelanoxylon,Dalbergia melanoxylon,,Guill. & Perr.,Zebrawood,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,,,"BF,GN,LK,MW",,,,,,
dalbergiamicrophylla,Dalbergia microphylla,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiamollis,Dalbergia mollis,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiamonticola,Dalbergia monticola,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergianeoperrieri,Dalbergia neoperrieri,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergianitidula,Dalbergia nitidula,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergianormandii,Dalbergia normandii,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiaoblongifolia,Dalbergia oblongifolia,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiaobovata,Dalbergia obovata,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiapeltieri,Dalbergia peltieri,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiapervillei,Dalbergia pervillei,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiapseudobaronii,Dalbergia pseudobaronii,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiapurpurascens,Dalbergia purpurascens,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiasissoo,Dalbergia sissoo,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiasuaresensis,Dalbergia suaresensis,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiatrichocarpa,Dalbergia trichocarpa,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiatricolor,Dalbergia tricolor,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiatsaratananensis,Dalbergia tsaratananensis,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiatsiandalana,Dalbergia tsiandalana,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalbergiaxerophila,Dalbergia xerophila,,,,Plantae,,,,,Dalbergia,,,,,,,,[PROTA],
dalechampiaclematidifolia,Dalechampia clematidifolia,,,,Plantae,,,,,Dalechampia,,,,,,,,[PROTA],
dalechampiaipomoeifolia,Dalechampia ipomoeifolia,,,,Plantae,,,,,Dalechampia,,,,,,,,[PROTA],
dalechampiaparvifolia,Dalechampia parvifolia,,(Hochst. ex Webb) MÃ¼ll.Arg.,,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Dalechampia,,,GY,,,,,,
damadama,Dama dama,,"(Linnaeus, 1758)",fallow deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Dama,"herbivore; height: 90cm, yellowish-fawn coat with bold white spots, underparts white; males carry branched antlers, witch they shed in midsummer,","savanna, forest, shrubland, grassland, woodland","BW,LS,MZ,SZ,ZA,ZW",,,,introduced,,
damaliscuskorrigum,Damaliscus korrigum,,"(Ogilby, 1837)",korrigum topi,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus,,,TZ,,,,,,
damaliscuslunatus,Damaliscus lunatus,,"(Burchell, 1823)",Topi,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus,herbivore; height: 100-150cm; the coat is dark reddish-brown; they have a dark blaze on the face; also the upper parts of the legs are black; they have a hump on the shoulders and the back slopes downwards: both sexes have horns; the horns are ringed and S-shaped;,"savanna, scrubforest, grassland","BW,NA,ZA,ZW",,,,"Tsessebe, Sassaby",,
damaliscuspygargusdorcas,Damaliscus pygargus dorcas,,,Bontebok,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus,"herbivore; height: 90cm; the coat is very colourful, the top of the back and the neck are light brown getting darker on the flanks and legs; the belly, the lower legs and a patch around the crop are white; the face is brown with two large, white blazes which usually merge; both sexes have horns; it can be distinguished from the Blesbok by the white patch around the crop",fynbos,ZA,,,,,,
damaliscuspygargusphillipsi,Damaliscus pygargus phillipsi,,"Harper, 1939",Blesbok,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus,herbivore; height: 85-100cm; the neck and top of the back are brown; the flanks and buttocks are darker; the belly and part of the legs are white; the face is brown with a small blaze above the eyes and a big blaze on the snout; the ears are white and pointy; the tail is black and bushy; both sexes have horns; it differs from the Bontebok by the blazes on the face being seperated;,grassland,ZA,,,,,,
danaisligustrifolia,Danais ligustrifolia,,,,Plantae,,,,,Danais,,,,,,,,[PROTA],
danauschrysippus,Danaus chrysippus,,"Linnaeus, 1758",African monarch,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Danaus,,,"BW,NA,ZA",,,,,,
danielliaalsteeniana,Daniellia alsteeniana,,,,Plantae,,,,,Daniellia,,,,,,,,[PROTA],
danielliaklainei,Daniellia klainei,,,,Plantae,,,,,Daniellia,,,,,,,,[PROTA],
danielliaoblonga,Daniellia oblonga,,,,Plantae,,,,,Daniellia,,,,,,,,[PROTA],
danielliaogea,Daniellia ogea,,,,Plantae,,,,,Daniellia,,,,,,,,[PROTA],
danielliaoliveri,Daniellia oliveri,,(Rolfe)Hutch. & Dalziel,african copaiba balsam tree,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Daniellia,,,"BF,BJ,CI,FR,GN,ML,SN",,,,,,
danielliapynaertii,Daniellia pynaertii,,,,Plantae,,,,,Daniellia,,,,,,,,[PROTA],
danielliasoyauxii,Daniellia soyauxii,,,,Plantae,,,,,Daniellia,,,,,,,,[PROTA],
danielliathurifera,Daniellia thurifera,,,,Plantae,,,,,Daniellia,,,,,,,,[PROTA],
daptioncapense,Daption capense,,"(Linnaeus, 1758)",Cape Petrel,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Daption,"carnivore; body-length: 40 cm; wingspan: 86 cm; neck and head are black while chest, belly and underwing are white; the upperwings are black and white speckled; the tail shows a band of black",marine habitat,,,,,,,
dasylepisintegra,Dasylepis integra,,,,Plantae,,,,,Dasylepis,,,,,,,,[PROTA],
dasymysincomtus,Dasymys incomtus,,"(Sundevall, 1847)",African Marsh Rat,Animalia,Chordata,Mammalia,Rodentia,Muridae,Dasymys,"omnivore; length: 30-35cm, tail-length: 14-18 cm; long, dark, shaggy fur; dark feet; small eyes;","savanna, forest, grassland, swamps","BW,NA,ZA,ZW",,,,,,
dasypeltissahelensis,Dasypeltis sahelensis,,"Trape & Mane, 2006",Sahel Egg Eater,Animalia,Chordata,Reptilia,Squamata,Colubridae,Dasypeltis,,,,,,,,,
daturaferox,Datura ferox,,,,Plantae,,,,,Datura,,,,,,,,[PROTA],
daturainnoxia,Datura innoxia,,P. Miller,horn of plenty,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Datura,,,"BE,DE,EG,ES,FR,GR,HU,NA,TR,US",,,,,,
daturainoxia,Datura inoxia,,P. Miller,desert thornapple,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Datura,,,"AU,ES,IN,LK,SE,SN",,,,,,
daturametel,Datura metel,,,,Plantae,,,,,Datura,,,,,,,,[PROTA],
daturastramonium,Datura stramonium,,L.,jimsonweed,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Datura,,,"DE,ES,FR,IT,NZ,PT,SE,US",,,,,,
daucuscarota,Daucus carota,,L.,Queen Anne's lace,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus,,,"DE,ES,FR,IE,IT,NZ,SE,US",,,,,Blench2012[2],
deinbolliacuneifolia,Deinbollia cuneifolia,,,,Plantae,,,,,Deinbollia,,,,,,,,[PROTA],
deinbolliafulvo-tomentella,Deinbollia fulvo-tomentella,,,,Plantae,,,,,Deinbollia,,,,,,,,[PROTA],
deinbolliagrandifolia,Deinbollia grandifolia,,,,Plantae,,,,,Deinbollia,,,,,,,,[PROTA],
deinbolliamacrocarpa,Deinbollia macrocarpa,,,,Plantae,,,,,Deinbollia,,,,,,,,[PROTA],
deinbolliapervillei,Deinbollia pervillei,,,,Plantae,,,,,Deinbollia,,,,,,,,[PROTA],
deinbolliapynaertii,Deinbollia pynaertii,,,,Plantae,,,,,Deinbollia,,,,,,,,[PROTA],
delphinuscapensis,Delphinus capensis,,"Gray, 1828",long-beaked saddle-back dolphin,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinus,"carnivore; length: 1,6-2,3m; dark grey to brown above, pale grey elow; characteristic hour-glass pattern on the flanks;",marine habitat,"MZ,ZA",,,,,,
delphinusdelphis,Delphinus delphis,,"Linnaeus, 1758",Common dolphin,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinus,"carnivore; length:1,6 -2,3m;dark grey to brown above, pale grey elow; characteristic hour-glass pattern on the flanks;",marine habitat,"MZ,NA,ZA",,,,,,
deltaemarginatum,Delta emarginatum,,"(Linnaeus, 1758)",,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Delta,,,,,,,,,
dendroaspis,Dendroaspis,,,Mambas,Animalia,Chordata,Reptilia,Squamata,Elapidae,,,,,,,,,,
dendroaspispolylepis,Dendroaspis polylepis,,"GÃ¼nther, 1864",Black Mamba,Animalia,Chordata,Reptilia,Squamata,Elapidae,Dendroaspis,,,,,,,,,
dendrocalamusasper,Dendrocalamus asper,,,,Plantae,,,,,Dendrocalamus,,,,,,,,[PROTA],
dendrocalamusgiganteus,Dendrocalamus giganteus,,,,Plantae,,,,,Dendrocalamus,,,,,,,,[PROTA],
dendrocygna,Dendrocygna,,,Whistling-Ducks,Animalia,Chordata,Aves,Anseriformes,Anatidae,,,,,,,,,,
dendrocygnabicolor,Dendrocygna bicolor,,"(Vieillot, 1816)",Fulvous Whistling Duck,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,herbivore; body-length: 46 cm; red-brown plumage; dark brown with some white on the back; white rump; dark stripe in the neck; dark bill,freshwater,"AR,BZ,CO,GB,HN,KE,MX,NI,PA,SN,UG,US,VE,ZA",,,,,,
dendrocygnaviduata,Dendrocygna viduata,,"(Linnaeus, 1766)",White-faced Whistling Duck,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,herbivore; body-length: 48 cm; black head with white face; brown plumage; dark belly; blue-tipped black bill,freshwater,"AR,BO,BR,CO,ET,GH,GM,KE,LR,MG,MZ,NE,PE,PY,SN,TZ,UG,VE,ZA,ZM",,,,,,
dendrohyraxarboreus,Dendrohyrax arboreus,,"(A. Smith, 1827)",Southern Tree Hyrax,Animalia,Chordata,Mammalia,Hyracoidea,Procaviidae,Dendrohyrax,"herbivore; length: 42-52cm; tail-less stockily build animal, woolly grey-brown fur, underside white; patch of white hair on the back; small round ears, large eyes;","forest, grassland, mountain","MZ,ZA",,,,,,
dendromusmelanotis,Dendromus melanotis,,"Smith, 1834",Gray Climbing Mouse,Animalia,Chordata,Mammalia,Rodentia,Muridae,Dendromus,"herbivore; body-length: 6-9cm, tail-length: 7-13 cm; ash-grey on the back and whitish on the underside; the long, curly tail is used for climbing; the eyes are large;","savanna, grassland","BW,MZ,NA,ZA,ZW",,,,,,
dendromusmesomelas,Dendromus mesomelas,,"(Brants, 1827)",Brant's Climbing Mouse,Animalia,Chordata,Mammalia,Rodentia,Muridae,Dendromus,"herbivore; length: 17cm, tail-length: 10 cm; reddish-brown to chestnut colouring, paler on the belly; the tail is longer than the head-and-body length; diffuse dark stripe down the back;","forest, grassland","BW,MZ,NA,ZA",,,,,,
dendromusmystacalis,Dendromus mystacalis,,"Heuglin, 1863",Chestnut Climbing Mouse,Animalia,Chordata,Mammalia,Rodentia,Muridae,Dendromus,"herbivore; length: 15cm, tail-length: 8 cm; reddish-brown to chestnut colouring, paler on the belly; the tail is longer than the head-and-body length; diffuse dark stripe down the back;","savanna, grassland","BW,MZ,ZA,ZW",,,,,,
dendromusnyikae,Dendromus nyikae,,"Wroughton, 1909",Nyika Climbing Mouse,Animalia,Chordata,Mammalia,Rodentia,Muridae,Dendromus,"herbivore; length: 16cm, tail-length: 9 cm; reddish-brown to chestnut colouring, paler on the belly; the tail is longer than the head-and-body length; diffuse dark stripe down the back;","forest, grassland","MZ,ZW",,,,,,
dendropicoselachus,Dendropicos elachus,,"Oberholser, 1919",Little Gray Woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Dendropicos,,,"CM,NE,SN",,,,,,
dendropicosgoertae,Dendropicos goertae,,"(Statius Muller, 1776)",African Grey Woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Dendropicos,,,"CM,ET,GH,GM,GW,IN,KE,SN,TZ,UG",,,,,,
dendropicosnamaquus,Dendropicos namaquus,Thripias namaquus,"(A. A. H. Lichtenstein, 1793)",Bearded Woodpecker,Animalia,Chordata,Aves,Piciformes,Picidae,Dendropicos,,,,,,,,,
dermestes,Dermestes,,,larder beetle,Animalia,Arthropoda,Insecta,Coleoptera,Dermestidae,,,,"BW,ZA",,,,,,
desmodillusauricularis,Desmodillus auricularis,,"(Smith, 1834)",Cape Short-eared Gerbil,Animalia,Chordata,Mammalia,Rodentia,Muridae,Desmodillus,,,"BW,NA,ZA",,,,,,
desmodiumhirtum,Desmodium hirtum,,Guill. & Perr.,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Desmodium,,,"BF,BJ,NG",,,,,,
desplatsiasubericarpa,Desplatsia subericarpa,,,,Plantae,,,,,Desplatsia,,,,,,,,[PROTA],
detariummacrocarpum,Detarium macrocarpum,,,,Plantae,,,,,Detarium,,,,,,,,[PROTA],
detariummicrocarpum,Detarium microcarpum,,Guill. & Perr.,Tallow Tree,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Detarium,,,"BF,BJ,ML",,,,,,
detariumsenegalense,Detarium senegalense,,J.F.Gmel.,,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Detarium,,,"FR,GM,GN,ML",,,,,,
deverradenudata,Deverra denudata,,(Viv.) Pfisterer & Podlech,wild celery,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Deverra,"shrub, 1m tall, nearly leafless, small greenish-yellow flowers are borne in an apical umbel, aromatic when bruised","grassland, dry river course, sandy soil","BW,NA,ZA",,,,,,
dewinteriapetrophila,Dewinteria petrophila,,,,Plantae,,,,,Dewinteria,,,,,,,,[plantzafrica.com],
diabolocatantopsaxillaris,Diabolocatantops axillaris,,,,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Diabolocatantops,,,,,,,,,
dialiumaubrevillei,Dialium aubrevillei,,,,Plantae,,,,,Dialium,,,,,,,,[PROTA],
dialiumbipindense,Dialium bipindense,,,,Plantae,,,,,Dialium,,,,,,,,[PROTA],
dialiumcorbisieri,Dialium corbisieri,,,,Plantae,,,,,Dialium,,,,,,,,[PROTA],
dialiumdinklagei,Dialium dinklagei,,,,Plantae,,,,,Dialium,,,,,,,,[PROTA],
dialiumenglerianum,Dialium englerianum,,Henriq.,Kalahari podberry,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dialium,,,,,,,,,
dialiumexcelsum,Dialium excelsum,,,,Plantae,,,,,Dialium,,,,,,,,[PROTA],
dialiumholtzii,Dialium holtzii,,,,Plantae,,,,,Dialium,,,,,,,,[PROTA],
dialiummadagascariense,Dialium madagascariense,,,,Plantae,,,,,Dialium,,,,,,,,[PROTA],
dialiumoccidentale,Dialium occidentale,,,,Plantae,,,,,Dialium,,,,,,,,[PROTA],
dialiumorientale,Dialium orientale,,,,Plantae,,,,,Dialium,,,,,,,,[PROTA],
dialiumpachyphyllum,Dialium pachyphyllum,,,,Plantae,,,,,Dialium,,,,,,,,[PROTA],
dialiumpentandrum,Dialium pentandrum,,,,Plantae,,,,,Dialium,,,,,,,,[PROTA],
dialiumunifoliolatum,Dialium unifoliolatum,,,,Plantae,,,,,Dialium,,,,,,,,[PROTA],
dialiumzenkeri,Dialium zenkeri,,,,Plantae,,,,,Dialium,,,,,,,,[PROTA],
diamphidia,Diamphidia,,,Bushman arrow-poison beetle,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,,,"BW,NA,ZA",,,,,,
diamphidiasimplex,Diamphidia simplex,,,Bushman arrow-poison beetle,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Diamphidia,,,,,,,,,
dicerocaryumeriocarpum,Dicerocaryum eriocarpum,Dicerocaryum zanguebarium eriocarpum,(Decne.) J. Abels,Stud thorn,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Pedaliaceae,Dicerocaryum,"perennial, hairy herb; creeping growth; the leaves are lobed; white to pink, trumpet-shaped flowers; the fruit is a disk with two thorns",sandy soil,,,,,,,
