id,scientific_name,species_description,english_name,kingdom,order,family,genus,characteristics,biotope,ecoregions__ids,countries__ids,general_uses,notes,refs__ids,wikipedia_url,eol_id,links
acanthodactylusboskianus,Acanthodactylus boskianus,,Bosk's Fringe-fingered Lizard,Animalia,Squamata,Lacertidae,Acanthodactylus,,,AT0801;AT1321;PA1303;PA1325,SA;OM;IL,,,,,1057284,
acanthodactylusguineensis,Acanthodactylus guineensis,,Guinea Fringe-fingered Lizard,Animalia,Squamata,Lacertidae,Acanthodactylus,,,,,,,,,1057277,
acanthoplusdiscoidalis,Acanthoplus discoidalis,,Armoured ground cricket,Animalia,,,,,,,,,,,http://en.wikipedia.org/wiki/Acanthoplus_discoidalis,651276,
acanthosicyosnaudinianus,Acanthosicyos naudinianus,,Gemsbok cucumber,Plantae,Cucurbitales,Cucurbitaceae,Acanthosicyos,"melon plant, creeping growth, yellow flowers, yellow, thorny, oval-shaped fruits of approx. 250 g, fruit and seeds edible, long root tuber",,AT1309,"BW,NA,ZA",,,,http://en.wikipedia.org/wiki/Acanthosicyos_naudinianus,5734641,
acanthospermumhispidum,Acanthospermum hispidum,,Upright starbur,Plantae,Asterales,Asteraceae,Acanthospermum,,,AT0707;AT0713;AT0722;AT1015;NT0109,BF;TZ;ML;BJ;NG;SN;CO,,,,,468702,
accipiterbadius,Accipiter badius,,Shikra,Animalia,Accipitriformes,Accipitridae,Accipiter,,,AT1309,"BW,NA,ZA",,,,http://en.wikipedia.org/wiki/Accipiter_badius,914073,
achyranthesaspera,Achyranthes aspera,,Devil's horsewhip,Plantae,Caryophyllales,Amaranthaceae,Achyranthes,,,AT0709,"BW,ZA",,,,http://en.wikipedia.org/wiki/Achyranthes_aspera,585501,
achyranthesasperasicula,Achyranthes aspera sicula,,,Plantae,Caryophyllales,Amaranthaceae,Achyranthes,,,AT0707;AT0713;AT0722;AT0907;AT1005;AT1309;IM0135;PA0412;PA0425;PA1203;PA1214,FR;TZ;PT;NA;IT;NG;BF;BW;AU;PL;IN;ES;SN,,,,,5170933,
acinonyxjubatus,Acinonyx jubatus,,Cheetah,Animalia,Carnivora,Felidae,Acinonyx,"carnivore; height: 70-90 cm, the Cheetah is a large cat with long legs and a small head; the coat is yellowish-white with black spots; the ears are small and round; the Cheetah is the fastest land animal reaching speeds of more than 100 km/h; it can be distinguished from the Leopard by its longer legs and the characteristic tear marks extending from the eyes to the mouth;","grassland, desert","AT1309,AT1316,AT0702,AT0726,AT0709,AT0908,AT0907,AT0725,AT0719,AT1006","BW,MZ,NA,ZA,ZW",,,cillie1997[114],http://en.wikipedia.org/wiki/Acinonyx_jubatus,328680,
acomysjohannis,Acomys johannis,,Johan’s spiny mouse,Animalia,Rodentia,Muridae,Acomys,,,,,,,,,4463284,
acomysspinosissimus,Acomys spinosissimus,,Spiny mouse,Animalia,Rodentia,Muridae,Acomys,"omnivore; length: 17 cm, tail-length: 8 cm; reddish-grey back with spiny hair, white underside;","savanna, woodland","AT0719,AT0717,AT0128,AT0725,AT0726,AT0709,AT1004,AT1006","BW,MZ,ZA,ZW",,,stuartstuart2007[116],http://en.wikipedia.org/wiki/Acomys_spinosissimus,313033,
acomyssubspinosus,Acomys subspinosus,,Cape spiny mouse,Animalia,Rodentia,Muridae,Acomys,"omnivore; length: 17 cm, tail-length: 8 cm; dark grey-brown back with spiny hair, white underside;",fynbos,"AT1202,AT1203",ZA,,,stuartstuart2007[100],http://en.wikipedia.org/wiki/Acomys_subspinosus,313034,
acoryphaclara,Acorypha clara,,,Animalia,Orthoptera,Acrididae,Acorypha,,,,,,,,,859614,
acoryphaglaucopsis,Acorypha glaucopsis,,,Animalia,Orthoptera,Acrididae,Acorypha,,,,,,,,,859299,
acrididae,Acrididae,,Grasshopper,Animalia,Orthoptera,Acrididae,,,"marshland, rainforest, scrubforest",AT1309,"BW,NA,ZA",,,,http://en.wikipedia.org/wiki/Acrididae_sp.,6580,
acridocarpusmonodii,Acridocarpus monodii,,,,,,,,,AT0722,ML,,,,,5026183,
acrotomeinflata,Acrotome inflata,,Acrotome sp.,Plantae,Lamiales,Lamiaceae,Acrotome,"annual herb; up to 50 cm; small white flowers, packed in dense rows in spherical axillary inflorescendes; hardy, rectangular, finely ripped stalk; few opposite, pendent leaves",,AT1309,"BW,NA,ZA",,,vanderwalt1999[118],http://en.wikipedia.org/wiki/Acrotome,5378389,
acrotylusblondeli,Acrotylus blondeli,,,Animalia,Orthoptera,Acrididae,Acrotylus,,,,,,,,,493815,
acrotyluspatruelis,Acrotylus patruelis,,Slender burrowing grasshopper,Animalia,Orthoptera,Acrididae,Acrotylus,,,PA1204;PA1210;PA1222,HR;FR;GR;ES;IT,,,,,493845,
acrotylussp1wa,Acrotylus sp. 1WA,,,,,,,,,,,,,,,29662263,
actia,Actia,,,Metazoa,Diptera,Tachinidae,Actia,,,,,,,,,29517965,
actiniopterisradiata,Actiniopteris radiata,,,Viridiplantae,Polypodiales,Pteridaceae,Actiniopteris,,,,,,,,,6085474,
