tockuserythrorhynchus,AT0108;AT0109;AT0112;AT0705;AT0707;AT0711;AT0715;AT0716;AT0722;AT1005;AT1007;AT1008
tytocapensis,AA0105;AA0117;AA0402;AA0701;AA0702;AA0703;AA0706;AA0707;AA1309;AT0101;AT0115;AT0705;AT0711;AT0717;AT0725;AT1004;AT1009;AT1203;IM0209
suncusvarilla,
bubolacteus,AT0101;AT0108;AT0112;AT0125;AT0702;AT0705;AT0707;AT0711;AT0714;AT0716;AT0719;AT0721;AT0722;AT0725;AT0726;AT1009;AT1309
broomeiaellipsospora,
ciconiaabdimii,AT0101;AT0108;AT0112;AT0704;AT0705;AT0711;AT0714;AT0715;AT0716;AT0717;AT0719;AT0721;AT0722;AT0725;AT0726;AT0907;AT1004;AT1005;AT1007;AT1008;AT1010;AT1302;AT1305;AT1320;Lake
parkinsoniaafricana,
genettagenettapulchra,AT0108;AT0114;AT0702;AT0714;AT0716;AT0722;AT0725;AT0726;AT1309;PA0402;PA0406;PA0445;PA1209;PA1215;PA1216;PA1221
typhacapensis,AT0907;AT1015
faureasaligna,
dicrurusadsimilis,AT0101;AT0108;AT0109;AT0111;AT0115;AT0116;AT0125;AT0705;AT0707;AT0711;AT0716;AT0717;AT0721;AT0722;AT0725;AT1003;AT1004;AT1012;AT1203
buboafricanus,AT0108;AT0109;AT0116;AT0119;AT0128;AT0701;AT0702;AT0704;AT0705;AT0709;AT0711;AT0714;AT0716;AT0717;AT0719;AT0721;AT0722;AT0725;AT0726;AT0801;AT0907;AT1003;AT1004;AT1009;AT1201;AT1202;AT1203;AT1302;AT1309;AT1314;AT1316;AT1320
aptosimumalbomarginatum,
crocutacrocuta,AT0108;AT0112;AT0702;AT0709;AT0711;AT0714;AT0716;AT0719;AT0721;AT0725;AT0726;AT0902;AT0907;AT1004;AT1316;AT1403;IM0123
cercopithecusmitis,AT0101;AT0108;AT0109;AT0119;AT0125;AT0711;AT0714;AT0721;AT0725;AT1004;AT1005;AT1006;AT1313
boophanedisticha,AT0717;AT1004;AT1012;AT1015
haliaeetusvocifer,AT0107;AT0108;AT0112;AT0115;AT0116;AT0119;AT0125;AT0705;AT0706;AT0707;AT0711;AT0713;AT0714;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT1004;AT1005;AT1013;AT1203;AT1402;AT1403;AT1405;Lake
acaciaerioloba,AT0907;AT1309;AT1314
scotophilusnigrita,
petromyscuscollinus,
philetairussocius,AT0702;AT0902;AT1309;AT1314;AT1315;AT1316;AT1322
acaciahereroensis,AT1309
panicumcoloratum,AA0402;AA0409
equusasinus,AA1309;AT1309;NA0414;NA0811;NA0814;NA1201;NA1308;NA1310;NT0310;NT0709;NT1305;NT1401;PA0431;PA0805;PA1207;PA1325
barleriapretoriensis,
combretummolle,AT0722;AT1015
hyparrheniafilipendulapilosa,AA0402
chlorotalpasclateri,
orcinusorca,AA0402;AA0801;NA0506;NA0520;NA0601;NA1101;NA1117;NT0160;NT0805;PA0421;PA0520
ledebouriamarginata,
leptailurusserval,AT0108;AT0709;AT0714;AT0715;AT0716;AT1008
eptesicushottentotus,
panicummaximum,AA0402;IM0154;NA0701;NT0109;NT1305
gypsafricanus,AT0101;AT0107;AT0108;AT0112;AT0119;AT0121;AT0705;AT0711;AT0714;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT1005;AT1007;AT1008
paraxeruspalliatus,AT0109;AT0116;AT0125;AT0725;AT1402
crinumfoetidum,
dorylushelvolus,
milvusaegyptius,AT0116;AT0709;AT0717;AT0725;AT0907;AT1004;AT1009;AT1012;AT1202;AT1309;AT1316
ploceusvelatus,AT0115;AT0116;AT0119;AT0702;AT0709;AT0714;AT0717;AT0725;AT0726;AT0902;AT0907;AT0908;AT1004;AT1009;AT1012;AT1309;AT1314;AT1315;AT1316
kalanchoelanceolata,AT0907
lippiajavanica,
diospyroslycioides,AT0719;AT0907;AT1004;AT1309
locustanapardalina,
chrysospalaxvillosus,
nerinelaticoma,
cocciniarehmannii,
argemoneochroleuca,AA0402;AA0409;AA0802;AA1309;AT1008;AT1203;AT1309;NA1302;NT0204;NT0303;NT0310;PA1203
atractaspisbibronii,
eucleanatalensis,
crotalariaspartioides,
otomyslaminatus,
mastomysnatalensis,AT0109;AT0119;AT0706;AT0907
rhinolophuslanderi,AT0711;AT0722
rhinolophusfumigatus,AT0722
buddlejasaligna,
passermotitensis,AT0702;AT0709;AT0714;AT0717;AT0725;AT0726;AT0902;AT1009;AT1309;AT1316;AT1322
equuszebrahartmannae,AT0702;AT1201;AT1309;AT1314;AT1316;AT1322
viduaparadisaea,AT0101;AT0108;AT0109;AT0112;AT0119;AT0709;AT0711;AT0714;AT0716;AT0717;AT0725;AT0726;AT0902;AT0907;AT1002;AT1004;AT1007
scotophilusviridis,AT0125;AT0722;AT0725
thallomysnigricauda,AT1309
kalanchoerotundifolia,
albiziaanthelmintica,AT1309
caracalcaracal,AT0709;AT1309;PA1303
vanelluscoronatus,AT0108;AT0115;AT0711;AT0714;AT0716;AT0717;AT0725;AT1007;AT1009;AT1202
coloeuraafra,AT0125;AT0707;AT0722;AT1402
dasymysincomtus,AT0718
pelomedusasubrufa,AT0115;AT0701;AT0702;AT0704;AT0711;AT0902;AT0907;AT1004
chamaeleodilepis,AT0109;AT0125;AT0702;AT0704;AT0715;AT0716;AT0717;AT0719;AT0725;AT0726;AT0908;AT1004;AT1006;AT1309;AT1401;AT1405
suricatasuricatta,AT0717;AT0725;AT0726;AT0908;AT1309;AT1316;PA0445
asparagusnelsii,
schmidtiapappophoroides,
bosciafoetida,AT1309;AT1316
bufogutturalis,AT0719;AT0725;AT1402
