Oxygonumdelagoense,,
balaenicepsrex,AT0101;AT0705;AT0721;AT0907,CD;RW;UG;ZM
balaenoptera musculus,AA0402;AA0409;AA0411;NA0605;NA0611;NA1201;PA0402;PA0408,AU;CA;CL;FR;GE;IE;IN;IS;MX;NO;NZ;PT;US
balaenopteraacutorostrata,AA0409;NA0605;NT1304;PA0429;PA0436;PA0602,AQ;BR;CA;DE;FR;GB;IE;IS;NO;SE;US
balaenopteraacutostrata,AA0409;NA0411;NA0605;NT1304;PA0429;PA0436;PA0602,AU;BR;BS;CA;DE;FR;GB;IE;IS;NO;SE;US
balaenopteraborealis,IM1301;NT0103;PA0405;PA0406;PA0409;PA0421,AQ;BR;DE;ES;FR;GB;IE;IN;PL;US
balaenopteraedeni,AA0402;AA0409;AT1203;NA0517;NA0529,AU;BS;JP;MF;NZ;PT;US;VC;VE;ZA
balaenopteramusculus,AA0402;AA0409;AA0411;NA0605;NA0611;NA1201;PA0402;PA0408,AQ;AU;CA;CL;FR;GE;IE;IN;IS;MX;NO;NZ;PT;US
balaenopteraphysalus,NA0411;NA0517;NA0605;PA0405;PA1201;PA1211,AQ;CA;DE;ES;FR;GF;GR;IE;IT;NO;SC;US
balanitesaegyptiacus,AT0707;AT0711;AT0713;AT0722;AT0903,BF;FR;ML;TZ
balearicapavonina,AT0101;AT0108;AT0112;AT0705;AT0707;AT0713;AT0715;AT0716;AT0721;AT0722;AT1007;AT1306;AT1401;AT1403;NA0415,AE;BJ;CM;ET;GM;GW;KE;NE;NG;RW;SN;TD;TG;TZ;UG;US
balearicaregulorum,AT0101;AT0108;AT0705;AT0711;AT0714;AT0716;AT0721;AT1003;AT1004;AT1005;AT1009;AT1013;NA0814;PA0445,DE;KE;RW;TZ;UG;US;ZA
bamanophisdorri,AT0722,BF
baphiamassaiensis,,
barleriaacanthoides,,
barleriapretoriensis,,
barleriarigida,,
bathyergusjanetta,,
bathyergussuillus,,
batismolitor,AT0101;AT0108;AT0109;AT0116;AT0119;AT0704;AT0705;AT0709;AT0711;AT0716;AT0717;AT0721;AT0725;AT0726;AT0902;AT0907;AT1004;AT1005;AT1012,BW;KE;MZ;NA;TZ;UG;ZA;ZM
bauhiniapetersiana,,
bauhiniareticulata,AT0707;AT0713;AT0722,BF;FR;NE;SN
bauhiniarufescens,AT0707;AT0713;AT0722;AT0903;PA1329,BF;FR;ML
bauhiniaurbaniana,,
bdeogalecrassicauda,,
belostomatidae,AA0115;AT0709;AT0713;AT0907;NA0409;NA0410;NA0411;NA0413;NA0513;NA0519;NA0520;NA0523;NA0527;NA0804;NA0806;NA0814;NA1201;NA1202;NA1303;NA1310;NT0125;NT0154;NT0230;NT0232;NT0310;NT0704;NT0708;NT0907;NT0908;PA0445,AR;BW;CA;DE;GT;ID;MX;PE;PY;SR;TD;US;VE
berchemiazeyheri,,
bergiasuffruticosa,AT0713;AT0722,BF
berkheyaradula,,
bidensbiternata,AT0722,BF
bidensengleri,,
bitisarietans,AT0114;AT0701;AT0707;AT0711;AT0719;AT0725;AT1004;AT1009;AT1309;AT1321;AT1403,AO;BW;GM;GN;GW;NA;SA;TZ;ZA;ZM;ZW
bitiscaudalis,AT1314;AT1315,NA;ZA
blaberidae,AT0114;AT0117;AT0202;NA0414;NA1311;NT0129;NT0150;PA0436,AR;CR;GN;MG;MX;SE;US
blainvilleagayana,AT0707;AT0713,BF;SN
blattodea,AA0405;AA0406;AA1003;AA1205;NA0303;NA0413;NA0701;NA0801;NA1201;NA1202;NA1302;NA1303;NA1311;NT0128;NT0154;NT0204;NT0230;NT0310;PA0405;PA0436;PA0445;PA0608;PA1211,AU;DE;IT;MX;NZ;PE;SE;US
blepharisdiversispina,,
blepharislinariifolia,AT0722,BF;BJ
blepharismaderaspatensis,AT0713;AT0722,BF
blepharistenuiramea,,
blumeaaxillaris,,
blumeabojeri,,
boerhaviacoccinea,AA0402;AA0409;AA0802;AA1308;AT0713;AT0722;NA0303;NA0503;NA0806;NA0814;NA1303;NT0209,AU;BF;BJ;MX;US
boerhaviadiffusa,AT0130;AT0713;AT0722;AT0907,BF;BW;GN;NG
boerhaviarepens,AT0130;AT0722;PA1209;PA1327,BF;ES;FR;GN;NG;SN
bolboschoenusmaritimus,NA1202;NA1308;PA0402;PA0405;PA0412;PA0436;PA0445;PA1215,DE;ES;FR;SE;US
bombaxcostatum,AT0111;AT0707;AT0722;AT1403,BF;BJ;FR;GN;ML
boophanedisticha,AT0717;AT1004;AT1012;AT1015,TZ;ZA
boophonedisticha,AT0717;AT1004;AT1012;AT1015,TZ;ZA
borassusaethiopum,AT0707;AT0713;AT0722;AT0725;AT1403;PA1329,BF;FR;GN;ML;MZ;NE
bosciaalbitrunca,AT0717;AT0907;AT1009;AT1309,BW;NA;ZA
bosciaangustifolia,AT0707;AT0713;AT0722,BF;FR;ML
bosciafoetida,AT1309;AT1316,NA
bosciasalicifolia,AT0713,BF
bosciasenegalensis,AT0707;AT0713;AT0722;PA1329,BF;FR;ML
bostaurus,AA0402;AA0405;AA0406;AA0409;AA0801;AA0802;AT0108;AT0716;NA0407;NA0412;NA0803;NA0806;NA1302;NA1310;NT0310;PA0402;PA0405;PA0409;PA0412;PA0431;PA0445;PA0501;PA1209;PA1215,AT;AU;CA;DE;ES;GB;HU;MX;NL;NZ;TZ;US
bostaurusprimigenius,AA0402;AA0405;AA0406;AA0409;AA0801;AA0802;AT0108;AT0716;NA0407;NA0412;NA0803;NA0806;NA1302;NA1310;NT0310;PA0402;PA0405;PA0409;PA0412;PA0431;PA0445;PA0501;PA1209;PA1215,AT;AU;CA;DE;ES;GB;HU;MX;NL;NZ;TZ;US
bostrychiahagedash,AT0101;AT0108;AT0111;AT0115;AT0116;AT0705;AT0706;AT0711;AT0717;AT0721;AT0722;AT0725;AT1003;AT1004;AT1009;AT1012;AT1203;AT1314;AT1405,GH;GM;KE;LS;TZ;UG;ZA
botaurusstellaris,PA0405;PA0436;PA0608,SE
brachiaria,AA0402;AA0409;AT0907;NT0109;NT0137;PA1215,AU;BW;CO;FR
brachiariaglomerata,,
brachiarialata,AT0707;AT0713;AT0722,BF;BJ;SN
brachiariamarlothii,,
brachiariamutica,AA0402;AT0722,AU;NG
brachiarianigropedata,,
brachiariavillosa,AT0111;AT0707;AT0713;AT0722,BF;BJ;NG;SN
brachiariaxantholeuca,AT0713;AT0722,BF;NG
brachystelma,AT0704;AT0722,BF;TZ;ZA
brachystelmaarnotii,,
brachystelmacupulatum,,
brachystelmadinteri,,
brachystelmagymnopodum,,
bradornisinfuscatus,AT0702;AT0709;AT0717;AT0725;AT0902;AT0907;AT0908;AT1309;AT1314;AT1316;AT1322,BW;NA;ZA
bradornismariquensis,AT0702;AT0709;AT0717;AT0725;AT0726;AT0902;AT0907;AT0908;AT1309;AT1310;AT1316,AO;BW;NA;ZA
bradyporidae,,
brevicepsadspersus,,
brideliamollis,,
broomeiaellipsospora,,
brycinus,AT0725;AT0907,BW
brycinusleuciscus,,
brycinusmacrolepidotus,,
brycinusnurse,,
bubalornisalbirostris,AT0707;AT0711;AT0712;AT0713;AT0715;AT0716;AT0721;AT0722;AT1403,BJ;CM;ET;GH;GM;KE;ML;NE;NG;SN;UG
bubo,AT0722;AT1403;NA0403;NA0406;NA0407;NA0410;NA0411;NA0413;NA0414;NA0415;NA0416;NA0517;NA0519;NA0523;NA0801;NA0804;NA0806;NA0807;NA0808;NA0814;NA0815;NA1202;NA1308;PA0405;PA0445,CA;DE;DK;GM;US
buboafricanus,AT0108;AT0109;AT0116;AT0119;AT0128;AT0701;AT0702;AT0704;AT0705;AT0709;AT0711;AT0714;AT0716;AT0717;AT0719;AT0721;AT0722;AT0725;AT0726;AT0801;AT0907;AT1003;AT1004;AT1009;AT1201;AT1203;AT1302;AT1309;AT1314;AT1316;AT1320,AO;BW;CD;GH;KE;LS;MZ;NA;OM;RW;TZ;UG;ZA;ZM;ZW
buboascalaphus,AT1306;PA1213;PA1303;PA1321;PA1323;PA1325,AE;IL;KW;MA;SA
bubocinerascens,AT0103;AT0108;AT0111;AT0112;AT0114;AT0705;AT0707;AT0711;AT0712;AT0713;AT0715;AT0721;AT0722;AT1007;AT1010;AT1403,CM;ET;GH;GM;KE;LR;NG;SL;SN;TG;UG
bubolacteus,AT0101;AT0108;AT0112;AT0125;AT0702;AT0705;AT0707;AT0711;AT0714;AT0716;AT0719;AT0721;AT0722;AT0725;AT0726;AT1009;AT1309,BW;ET;GM;KE;NA;NE;TZ;UG;ZA;ZM;ZW
bubulcusibis,AT0108;AT0714;AT0716;AT0722;AT1007;IM0105;IM0146;IM0172;IM0202;IM0210;NA0404;NA0405;NA0529;NA0804;NA0814;NA1202;NA1302;NA1310;NA1312;NT0127;NT0161;NT0176;NT0179;NT0215;NT0226;NT0230;NT0709;NT1305;OC0106;OC0202;OC0702;PA0904;PA1201;PA1209;PA1211;PA1212;PA1215;PA1221;PA1321,AG;BB;CW;DO;EG;ES;ET;FR;GP;GR;IN;IT;KH;LA;LC;MA;MX;NE;PR;PT;PW;SG;TW;TZ;US;VC;VE
bucorvusabyssinicus,AT0101;AT0112;AT0705;AT0712;AT0715;AT0721;AT0722;AT0725;AT0907;AT1007;AT1008,BJ;CM;ET;GH;GM;SN;UG;ZM
buddlejasaligna,,
bufogutturalis,AT0719;AT0725;AT1402,TZ;ZA;ZM;ZW
bugeranuscarunculatus,AT0704;AT0706;AT0716;AT0725;AT0726;AT0907;AT0908;AT1004;AT1007;AT1008,BW;ET;NA;TZ;ZA;ZM
bulbinecapitata,,
bulbinefrutescens,PA0425,PT
bulbostylishispidula,AT0111;AT0707;AT0713;AT0722,BF;BJ;NG;SN
bulweriabulwerii,OC0202,CV;ES;FM;JP;KI;MA;PT;RE;SB;TW;UM;US
bunolagusmonticularis,,
buphagusafricanus,AT0101;AT0108;AT0125;AT0704;AT0705;AT0706;AT0707;AT0709;AT0711;AT0714;AT0716;AT0721;AT0722;AT0725;AT0726;AT0907;AT1013,BW;GH;GM;KE;NA;RW;SN;TZ;UG;ZA;ZM;ZW
burhinidae,AT0707;AT0716;AT1403;PA0405;PA0436;PA1201;PA1209;PA1211;PA1215;PA1221,AU;ES;FR;GM;GR;IT;PT;SE;TZ
burhinuscapensis,AT0111;AT0116;AT0705;AT0711;AT0714;AT0715;AT0716;AT0717;AT0721;AT0722;AT0725;AT1004;AT1009;AT1012;AT1201;AT1203;AT1314,ET;GH;KE;LS;OM;TZ;UG;ZA
burhinussenegalensis,AT0101;AT0111;AT0112;AT0705;AT0707;AT0711;AT0713;AT0721;AT0722;AT1007;AT1010;AT1401;AT1403;PA0904;PA1327,BJ;EG;ET;GH;GM;GN;KE;NG;SD;SN;TG;UG
burkeaafricana,AT0111;AT0722,BF;BJ;ML
buteoaugur ,AT0101;AT0108;AT0109;AT0112;AT0705;AT0711;AT0714;AT0715;AT0716;AT0721;AT1005;AT1007;AT1008;AT1013,ET;KE;RW;TZ;UG
buteoauguralis,AT0107;AT0111;AT0114;AT0121;AT0707;AT0712;AT0722;AT1002;AT1010;AT1401,AO;CM;GH;LR;NG;TG
buteobuteo,PA0402;PA0405;PA0412;PA0445;PA1212,DE;ES
buteobuteovulpinus,PA0402;PA0405;PA0412;PA0445,DE;NL
buteooreophilus,AT0101;AT0108;AT0109;AT0112;AT0115;AT0711;AT0715;AT0721;AT0725;AT1003;AT1004;AT1005;AT1007;AT1008;AT1012;AT1013;AT1203,CD;ET;KE;RW;TZ;UG;ZA
buteorufinus,AT1320;IM0115;IM0166;IM0206;IM0301;PA0402;PA0404;PA0408;PA0431;PA0436;PA0445;PA0507;PA0805;PA0814;PA1201;PA1202;PA1206;PA1207;PA1212;PA1214;PA1303;PA1313;PA1320;PA1321;PA1323;PA1325;PA1326,AE;AF;AM;AT;BG;CY;DE;GR;IL;IN;IR;KW;MA;NP;SA;SE;TN;TR
buteorufofuscus,AT0115;AT0116;AT0717;AT0725;AT1003;AT1004;AT1009;AT1012;AT1201;AT1203;AT1314;AT1322,LS;SZ;ZA
butoridesstriata,AA0117;AA0119;AA0402;AA0702;AT0113;AT0120;AT0707;AT0715;AT0716;AT0722;AT0725;AT1306;IM0105;IM0107;IM0115;IM0124;IM0146;IM0168;IM0172;IM1402;NT0101;NT0102;NT0109;NT0128;NT0129;NT0136;NT0145;NT0160;NT0166;NT0170;NT0171;NT0178;NT0214;NT0220;NT0232;NT0709;NT0801;NT0803;NT0907;NT1307;NT1308;NT1315;NT1401;PA1325,AE;AR;AU;BO;BR;BT;CO;EC;ET;GM;ID;IL;IN;KE;MU;MY;NP;PA;PE;SB;SC;SG;TH;TT;TW;UG;VE;ZA
cadabaaphylla,AT1201;AT1316,NA;ZA
cadabafarinosa,AT0707;AT0713;AT0722,BF;FR
cadabaglandulosa,AT0713,BF;ML
caelifera,AT0717;AT1203;AT1322;IM0150;NA0404;NA0410;NA0411;NA0413;NA0415;NA0519;NA0523;NA0529;NA0804;NA0806;NA0814;NA0815;NA1201;NA1202;NA1203;NA1302;NA1303;NA1308;NT0161;NT0177;NT0181;NT0217;NT0227;NT0228;NT0310;NT1316;PA0405;PA0421;PA0433;PA0436;PA0445;PA0608;PA1110;PA1211,DE;ES;GB;IN;IT;MX;SE;US;ZA
calandrellabrachydactyla,AT1302;AT1306;IM0901;IM1301;IM1304;PA0436;PA0445;PA1206;PA1208;PA1209;PA1215;PA1221;PA1222;PA1303;PA1321;PA1323;PA1325,AE;CY;DE;ES;FR;IL;IN;IT;PT;QA;SA;SE;TN
calcochlorisobtusirostris,,
calliphoridae,AA0405;AA0409;AA0801;AT0723;NA0519;NA0801;NA1201;NA1202;PA0402;PA0405;PA0412;PA0436;PA0445;PA0608,AU;CD;DE;NZ;SE;US
callosobruchusmaculatus,PA0436,SE
calonectrisdiomedea,AT0707;PA0425;PA0436;PA1201;PA1203;PA1210;PA1211;PA1212;PA1215;PA1222,BM;ES;FR;GH;IT;ME;NZ;PT;SE;TR;US
calotropisprocera,AT0112;AT0707;AT0713;AT0715;AT0716;AT0722;AT0901;AT1007;AT1302;AT1320;NT0120;NT0308;PA0445;PA1212;PA1303;PA1321;PA1327;PA1329,BF;BJ;ES;ET;FR;GN;IN;MA;ML;MX;OM;SA;TZ
camaropterabrevicaudata,AT0108;AT0109;AT0125;AT0702;AT0704;AT0705;AT0707;AT0709;AT0712;AT0715;AT0717;AT0721;AT0722;AT0725;AT0726;AT0902;AT0907;AT1004;AT1009;AT1309;AT1316;AT1402,BW;ET;GM;KE;MW;NA;SS;TZ;UG;ZA;ZM
camelliasinensis,AT0120;IM0151;PA0440,IN;JP;MU;TR
camelusdromedarius,AA1302;AT1306;AT1320;PA0904;PA1212;PA1213;PA1303;PA1321;PA1325;PA1329,AU;EG;IL;MA;MR;OM;SA
campetherabennettii,AT0119;AT0125;AT0702;AT0704;AT0717;AT0719;AT0725;AT0726;AT0907;AT1015;AT1309;AT1316,BW;CD;MW;MZ;NA;SZ;TZ;ZA;ZM;ZW
campetherapunctuligera,AT0111;AT0124;AT0707;AT0712;AT0713;AT0722;AT1010;AT1403,BJ;CD;CM;GH;GM;GN;GW;MR;NG;SL;SN;TG
camponotus,IM0124;NA0303;NA0403;NA0410;NA0411;NA0413;NA0414;NA0516;NA0519;NA0524;NA0527;NA0529;NA0701;NA1101;NA1201;NA1202;NA1203;NA1308;NA1311;NT0160;NT0177;NT0904;NT1403;PA0401;PA0402;PA0405;PA0423;PA0436;PA0440;PA0445;PA0608;PA1211;PA1222,BR;CA;DE;IN;IT;JP;MX;SE;US
camponotusmaculatus,,
camponotussericeus,AT1306,AE
camptorrhiizastrumosa,,
canavalia,AA0111;AA0402;AT0707;AT0725;NA0303;NT0178;NT0228;NT0310;NT1403,AU;EC;MX;MZ;PG;SN;US
canavaliaafricana,AT0725,MZ
canavaliaensiformis,,
canis,AA1003;AT0108;AT0716;AT1008;NA0303;NA0403;NA0404;NA0406;NA0407;NA0410;NA0411;NA0414;NA0511;NA0519;NA0527;NA0528;NA0804;NA0805;NA0806;NA0814;NA0815;NA1201;NA1202;NA1303;NA1304;NA1310;NA1312;NT0211;PA0402;PA0445,CA;DE;ET;MX;NZ;TZ;US
canisadustus,AT0119;AT0125;AT0705;AT0725,BW;NA;SZ;TZ;UG
canisadustusadustus,AT0119;AT0125;AT0705;AT0725,BW;NA;SZ;TZ;UG
canisaureus,AT0108;AT0714;AT1309;IM0115;IM0120;IM0162;IM0166;IM0212;PA0404;PA0408;PA0431;PA0446;PA1201;PA1207;PA1303,AT;BG;GR;HR;IL;IN;IQ;LK;NA;NP;TR;TZ
canislupusfamiliaris,AA0402;AA0407;AA0409;AA0701;AA0801;AA1003;AA1304;AT0108;AT0716;NA0303;NA0402;NA0405;NA0407;NA0414;NA0501;NA0503;NA0519;NA0523;NA0524;NA0528;NA0608;NA0804;NA0806;NA0814;NA1101;NA1201;NA1203;NA1302;NA1310;NT0145;PA0402;PA0404;PA0406;PA0412;PA0417;PA0431;PA0445;PA1103;PA1201;PA1215;PA1303,AT;AU;CA;CN;DE;EC;ES;GR;IL;MX;NZ;RU;TZ;US
canismesomelas,AT0108;AT0112;AT0702;AT0709;AT0711;AT0714;AT0716;AT0717;AT0721;AT0725;AT0726;AT0902;AT0908;AT1007;AT1008;AT1009;AT1012;AT1201;AT1309;AT1315;AT1316,BW;ET;KE;NA;TZ;UG;ZA;ZW
cannabissativa,NA0414;NA0805;NA0807;PA0402;PA0405;PA0412;PA0431;PA0436;PA0445;PA0608;PA0814,AT;DE;RO;RU;SE;US
capereamarginata,AA0409;AA0413;AA1206,AU
capparisfascicularis,,
capparissepiaria,AT0722,BF;ML
capparistomentosa,AT0713;AT0719;AT0722;AT0907,BF;BW;MW;NE
caprahircus,AA0402;AA0404;AA0405;AA0406;AA0409;AA0802;AA1003;IM0124;IM0149;NA0303;NA0411;NA0414;NT0112;NT0145;OC0702;PA0409;PA0417;PA0429,AU;CA;CN;EC;GT;HK;ID;IE;IN;MX;NL;NZ;US
caprimulgidae,AT1306;NA0523;NA0806;NA0814;NA1201;NA1303;NA1310;NA1311;NA1312;NT0709;NT0710;PA0405;PA0436;PA0608,AE;BR;CO;MX;SE;US;VE
caprimulgus,AT1306;PA0405;PA0436;PA0608,AE;SE
caprimulguseximius,AT0713;PA1304;PA1329,CM;MR;SD;SN
caprimulgusrufigena,AT0702;AT0709;AT0717;AT0725;AT0726;AT0902;AT1009;AT1203;AT1309;AT1314;AT1316,AO;BW;NA;ZA
caprimulgustristigma,AT0101;AT0114;AT0116;AT0702;AT0704;AT0705;AT0707;AT0711;AT0714;AT0716;AT0717;AT0719;AT0721;AT0725;AT0902;AT0907;AT1004;AT1010;AT1013;AT1309;AT1314;AT1316,BW;GH;GN;KE;MW;NA;NG;TZ;UG;ZA;ZM;ZW
capsicum,AA0801;AT0111;IM0150;IM0154;NA0303;NA0701;NA0806;NA0814;NA1202;NA1302;NA1303;NA1311;NA1312;NT0109;NT0181;NT0228;PA0402;PA0405;PA0436;PA0445;PA0608;PA1201;PA1215;PA1221,CO;DE;ES;FI;FR;IN;LK;MX;NZ;SE;TR;US
capsicumannuum,AA0801;IM0154;NA0303;NA0701;NA0806;NA1302;NA1303;NA1311;NA1312;NT0109;NT0228;PA0402;PA0405;PA0436;PA0445;PA0608;PA1201;PA1215;PA1221,CO;DE;ES;FI;FR;LK;MX;NZ;SE;TR;US
capsicumfrutescens,AA0801;IM0154;NA0303;NA0701;NA0806;NA1302;NA1303;NA1311;NA1312;NT0109;NT0228;PA0402;PA0405;PA0436;PA0445;PA0608;PA1201;PA1215;PA1221,CO;DE;ES;FI;FR;LK;MX;NZ;SE;TR;US
carabidae,AA0405;NA1202;PA0405;PA0436;PA0608,NZ;SE;US
caracalcaracal,AT0709;AT1309;PA1303,BW;IL
caralluma,AT0715;AT0722;PA1209;PA1212;PA1219,BF;ES;ET;ML
carallumaacutangula,AT0715,ET
carallumaadscendens,AT0722,BF;ML
cardiospermumhalicacabum,AA0402;AT0713;AT0722;AT1309;IM0212;NA0303;NA0404;NA0523;NA0804;NA0814;NA1307;NT0137;NT1316;PA0402;PA0445;PA1209;PA1215,AU;BE;BF;CO;ES;FR;LK;MX;NA;US
carebaravidua,,
caricapapaya,AA0115;AT0110;AT0111;AT0130;AT0707;AT0722;NA0303;NA1311;NT0150;NT0154;NT0218;NT0310;NT1403;OC0202,AU;BR;CD;ES;FJ;FR;GN;ID;JM;MU;MX;NI;PG;PW;SC;TT;US
carissabispinosa,AT0704;AT1015,TZ
carpitalpaarendsi,,
cassiasieberiana,AT0130;AT0707;AT0722;AT1403,BF;FR;GN;ML
cassinetransvaalensis,,
cataglyphis,AT0713;IM0124;PA1212,EH;IN;SN
cataloipuscymbiferus,,
cataloipusfuscocoeruleipes,,
catantopsstramineus,,
catophractesalexandri,AT0702;AT0902;AT1309;AT1316,BW;NA
caususmaculatus,AT0107;AT0111;AT0114;AT0130;AT1403,CI;CM;GH;GN
ceibapentandra,AA1205;AT0110;AT0111;AT0114;AT0130;AT0707;AT0722;AT1403;IM0150;IM0154;NT0109;NT0119;NT0129;NT0137;NT0154;NT0166;NT0176;NT0178;NT0211;NT0218;NT0235,AU;BF;BJ;CD;CI;CO;CR;EC;FR;GH;GM;GN;GT;GW;IN;JM;LK;LR;ML;MX;PE;SN;US;VE
celosiaargentea,AA0801;AT0722;IM0135;NT0130;PA1201,BJ;CR;ES;IN;ML;NG;NZ;SL;TR
celosiatrigyna,AT0114;AT0202;AT0707;AT0713;AT0722;AT1015,BF;BJ;GN;MG;ML;NG;SN;TZ
celtistoka,AT0707;AT0722,BF;FR;ML
cenchrusbiflorus,AT0713;AT0722;PA1208;PA1209;PA1216;PA1221,BF;ES;ML;SN
cenchrusciliaris,AA1207;AA1309;AT0907;NA1303;NT0227;NT1316;PA1203;PA1212;PA1215,AU;BW;ES;MX;US
cenchrusprieurii,,
centaureaperrottetii,,
centropodiaglauca,,
centropussenegalensis,AT0107;AT0108;AT0111;AT0114;AT0121;AT0130;AT0705;AT0707;AT0712;AT0713;AT0717;AT0722;AT0725;AT0905;AT1401;AT1403;PA1327,BJ;BW;CM;EG;GH;GM;GW;LR;NG;SN;SS;TG;UG;ZA;ZM;ZW
centropussuperciliosus,AT0101;AT0108;AT0109;AT0115;AT0116;AT0705;AT0706;AT0711;AT0714;AT0715;AT0716;AT0717;AT0721;AT0725;AT1004;AT1005;AT1008;AT1012;AT1320;AT1402,ET;KE;SA;TZ;UG;ZA
cephalocrotonmollisklotsch,,
cephalophusnatalensis,AT0119;AT0714;AT0725;AT1004,MZ;TZ;ZA
cephalorhynchusheavisidii,,NA
cerambycidae,AA0405;AA0406;AA0801;AA1003;AT0719;AT0725;IM0105;IM0131;NA1202;PA0436;PA0445;PA0608,CR;DE;IN;MZ;NZ;SE;US;ZW
cerastescerastes,PA1321,TN
cerastesvipera,,
ceratothecasesamoides,AT0111;AT0713;AT0722,BF;BJ;NG
ceratotheriumsimum,AT0119;AT0702;AT0709;AT0711;AT0717;AT0719;AT0721;AT0725;AT0726;AT0902;AT0907;AT1004;AT1012;AT1201;AT1309;AT1316;NA0414,BW;KE;NA;SZ;UG;US;ZA;ZW
cercopithecusalbogularis,AT0125;AT0907,BW;KE;TZ
cercopithecusmitis,AT0101;AT0108;AT0109;AT0119;AT0125;AT0711;AT0714;AT0721;AT0725;AT1004;AT1005;AT1006;AT1313,KE;MZ;TZ;UG;ZA;ZW
cercotrichascoryphaeus,AT1003;AT1201;AT1203;AT1309;AT1314;AT1316;AT1322,LS;NA;ZA
cercotrichasgalactotes,AT0711;AT0713;AT0716;AT0721;AT1306;PA0805;PA1207;PA1303;PA1320;PA1321;PA1323;PA1325,AE;AM;IL;IR;JO;KE;KW;MA;QA;SA;SN;TR;TZ;UG
cercotrichaspodobe,AT0713;AT0715;AT1007;AT1302;AT1305;AT1320;AT1321;PA1303;PA1323;PA1325,AE;CM;DJ;ET;IL;SA;SD
ceropegiadistincta,,
ceropegiamultiflorasubsptentaculata,,
ceropegianilotica,,
ceropegiastenoloba,AT0704,TZ
ceruanapratensis,,
cerylerudis,AT0108;AT0111;AT0116;AT0704;AT0707;AT0711;AT0713;AT0715;AT0716;AT0721;AT0722;AT0725;AT1402;AT1405;IM0105;IM0115;IM0118;IM0124;IM0137;IM0149;IM0150;IM0164;IM0166;IM0201;IM0202;IM0204;IM0205;IM0208;IM0209;IM0210;PA0904;PA1207;PA1327,CD;EG;ET;GH;GM;HK;IL;IN;KE;KH;MM;NE;NP;SN;TR;TW;TZ;UG;VN;ZA
chaerephonansorgei,,
chaerephonbivittatus,,
chaerephonchapini,,
chaerephonnigeriae,,
chaerephonpumilus,,
chalcidesocellatus,AT1302;AT1320;PA1205;PA1206;PA1214;PA1218,CY;GR;IT;OM;TN
chalicodoma,NA0413;NA0814;PA0402;PA0405;PA0436;PA0445;PA0608;PA1201,DE;ES;GR;SE;US
chamaecristaabsus,AT0707;AT0722,BF;SN
chamaecristabiensis,,
chamaecristamimosoides,AT0111;AT0707;AT0713;AT0722;AT0907,BF;BJ;BW;NG;SN
chamaecristanigricans,AT0713;AT0722,BF;BJ;FR;ML
chamaeleo,AT0108;AT0109;AT0111;AT0114;AT0123;AT0125;AT0130;AT0702;AT0704;AT0707;AT0714;AT0715;AT0716;AT0717;AT0719;AT0722;AT0723;AT0725;AT0726;AT0908;AT1004;AT1006;AT1309;AT1315;AT1316;AT1318;AT1320;AT1321;AT1401;AT1403;AT1405;IM0204;NT0904;PA1201;PA1207;PA1221,BW;CG;CI;ES;ET;GA;GH;GM;GN;IL;IN;LB;MT;MZ;NA;NE;NG;PT;SA;TR;TZ;US;YE;ZA;ZM;ZW
chamaeleoafricanus,AT0714;AT0722,NE;TZ
chamaeleodilepis,AT0109;AT0125;AT0702;AT0704;AT0715;AT0716;AT0717;AT0719;AT0725;AT0726;AT0908;AT1004;AT1006;AT1309;AT1401;AT1405,BW;ET;GA;MZ;NA;TZ;ZA;ZM;ZW
chascanumlaetum,,
chascanummarrubiifoliumfenzlexwalp,,
chascanumpinnatifidum,,
cheilantheshirta,,
chenopodiumalbum,AA0801;NA1201;PA0402;PA0405;PA0409;PA0412;PA0436;PA0445;PA1215,DE;ES;FR;IE;NZ;SE;US
chilopoda,AA0405;AA0406;AA0801;AT1306;NA0411;NA0413;NA0415;NA0519;NA0804;NA0806;NA1201;NA1202;NA1203;NA1310;PA0402;PA0405;PA0436;PA0445;PA0608;PA1211;PA1221,AE;DE;IT;NZ;PT;SE;US;VN
chlorisgayana,AA0402;PA1215,AU;FR
chlorispilosa,AT0707;AT0713;AT0722,BF;BJ;NG;SN
chlorisrobusta,,
chlorisvirgata,AA0402;AA0409;NA0815;PA0405;PA0436,AU;SE;US
chlorocebusaethiops,AT0101;AT0112;AT0114;AT0125;AT0707;AT0709;AT0711;AT0714;AT0715;AT0716;AT0717;AT0719;AT0725;AT0726;AT0907;AT1004;AT1008;AT1203;AT1313;AT1402;AT1403,BW;ET;GM;GN;KE;NA;TZ;UG;ZA;ZM;ZW
chlorophytumanceps,,
chlorophytumgallabatense,AT0722;AT1015,BF;TZ
chlorotalpaduthieae,,
chlorotalpasclateri,,
choiromycesechinulatus,,
chrotogonussenegalensis,,
chrozophorabrocchiana,AT0713;AT0722;PA1327,BF;FR;ML
chrysichthysauratus,,
chrysichthysnigrodigitatus,,
chrysochlorisasiatica,,
chrysochlorisvisagiei,,
chrysococcyxcaprius,AT0101;AT0107;AT0108;AT0111;AT0112;AT0116;AT0119;AT0705;AT0707;AT0711;AT0714;AT0716;AT0717;AT0721;AT0725;AT1004;AT1005;AT1009;AT1012;AT1013;AT1401,BW;CM;ET;GH;KE;MZ;NG;TG;TZ;UG;ZA;ZM
chrysocomaobtusata,,
