Oxygonumdelagoense,,
aenigmatolimnasmarginalis,AT0116;AT0716;AT0717;AT1005;AT1309,KE;NA;ZA
aepycerosmelampus,AT0702;AT0709;AT0711;AT0714;AT0716;AT0717;AT0719;AT0725;AT0726;AT0902;AT0907;AT1004;AT1006;AT1012;AT1309;AT1316,BW;KE;MZ;NA;TZ;ZA;ZW
aepycerosmelampusmelampus,AT0702;AT0709;AT0711;AT0714;AT0716;AT0717;AT0719;AT0725;AT0726;AT0902;AT0907;AT1004;AT1006;AT1012;AT1309;AT1316,BW;KE;MZ;NA;TZ;ZA;ZW
aepycerosmelampuspetersi,AT0702;AT0709;AT0711;AT0714;AT0716;AT0717;AT0719;AT0725;AT0726;AT0902;AT0907;AT1004;AT1006;AT1012;AT1309;AT1316,BW;KE;MZ;NA;TZ;ZA;ZW
aervajavanica,PA1329;PA1332,FR;ML
aervaleucura,AT0907;AT1015;AT1309,BW;NA;TZ
aeschynomeneindica,AA0402;AT0713;AT0722;AT0903;NA0701;PA0412,AU;BF;BJ;ML;NG;PL;SN;US
aethomyschrysophilus,AT0109;AT0704;AT0716,TZ
aethomysgranti,,
aethomysnamaquensis,,
aethomyssilindensis,,
aframomummelegueta,AT0130,CI;GN
afrixalusvittiger,,
afrotrilepispilosa,AT0722,BJ
agamaaculeata,AT0701;AT0711;AT0716;AT0725;AT1309,AO;BW;KE;TZ;ZA
agamaagama,AT0102;AT0107;AT0108;AT0109;AT0111;AT0114;AT0123;AT0125;AT0126;AT0130;AT0704;AT0707;AT0711;AT0713;AT0714;AT0715;AT0716;AT0719;AT0722;AT0723;AT0905;AT1002;AT1309;AT1315;AT1316;AT1401;AT1403;NT0164,AO;BJ;CD;CI;CM;ET;GA;GH;GM;GN;KE;LR;ML;MZ;NA;NE;NG;SN;SS;TZ;US
agamaboueti,,
agamasankaranica,AT0130,GN
agriusconvolvuli,AA0405;AA0409;AT0707;AT0719;IM0126;IM0149;IM0204;IM0502;PA0402;PA0405;PA0409;PA0436;PA0445;PA0608;PA1211,AU;BJ;DE;DK;HK;IE;IN;IT;MZ;NZ;PH;PT;SE
aiolopussimulatrixsimulatrix,,
albiziaanthelmintica,AT1309,NA
albiziachevalieri,AT0722,BF
albiziaharveyi,,
albucaabyssinica,AT0722;AT1015,BF;TZ
albucaamboensis,,
albucaseineri,,
alcelaphusbuselaphus,AT0108;AT0125;AT0705;AT0711;AT0712;AT0714;AT0716;AT0717;AT0721;AT0722;AT0902;AT1004;AT1012;AT1201;AT1309,BW;CI;CM;GH;KE;NA;NE;TZ;UG;ZA;ZW
alectorischukar,NA0507;NA0522;NA0528;NA0530;NA0813;NA1203;NA1304;NA1305;NA1308;NA1309;NA1313;OC0202;PA0436;PA0805;PA1201;PA1205;PA1303;PA1313,AE;CA;CY;GE;GR;IR;SE;US;ZA
alectraorobanchoides,,
alestes,AT1306,AE
alestesbaremoze,AT1306,AE
alestesdentex,,
alliumcepa,AA0801;PA0402;PA0405;PA0409;PA0436;PA0445;PA0608;PA1215,DE;FI;FR;IE;NL;NZ;SE
alliumsativum,PA0402;PA0408;PA0412;PA0416;PA0431;PA0436;PA0445;PA0504;PA0814,AT;DE;ES;FR;GE;NL;PL;RO;RU;SE;SK;UA
allogymnopleurusaeneus,,
aloe,AA0405;AA0801;AT0118;AT0717;AT0722;AT1007;AT1203;AT1314;IM0146;NA0303;NA0519;NA1201;NA1202;NA1302;NA1307;NA1310;NT0205;NT0310;NT1305;OC0702;PA0425;PA1203;PA1212;PA1214;PA1215,CW;ES;ET;FR;IL;MC;MG;MX;NZ;PT;SG;US;ZA;ZW
aloecryptopoda,,
