id,name,generic_term,plural_form,stem,root,meaning,phonetic,grammatical_info,notes,comment,source__id,language__id,species__id,refs__ids,categories__ids
laniariusatrococcineus-deu-0,Rotbauchwürger,Würger,,,,,,m,,http://de.wikipedia.org/wiki/Rotbauchw%C3%BCrger,http://de.wikipedia.org/wiki/Rotbauchw%C3%BCrger,deu,laniariusatrococcineus,,deu-vogel;deu-tiere
lasiocampidae-deu-0,Glucke,Glucke,,,,,,f,Schmetterling,http://de.wikipedia.org/wiki/Glucken_%28Schmetterlinge%29,http://de.wikipedia.org/wiki/Glucken_%28Schmetterlinge%29,deu,lasiocampidae,,deu-insekten;deu-wirbellose;deu-tiere
lasiocampidae-deu-1,Wollraupenspinner,,,,,,,m,,http://de.wikipedia.org/wiki/Glucken_%28Schmetterlinge%29,http://de.wikipedia.org/wiki/Glucken_%28Schmetterlinge%29,deu,lasiocampidae,,deu-insekten;deu-wirbellose;deu-tiere
leptoptiloscrumeniferus-deu-0,Marabu,Marabu,,,,,,m,,http://de.wikipedia.org/wiki/Marabu,http://de.wikipedia.org/wiki/Marabu,deu,leptoptiloscrumeniferus,,deu-vogel;deu-tiere
lepuscapensis-deu-0,Kaphase,Hase,,,,,,m,,http://de.wikipedia.org/wiki/Kaphase,http://de.wikipedia.org/wiki/Kaphase,deu,lepuscapensis,,deu-saugetiere;deu-tiere
lepuseuropaeus-deu-0,Feldhase,Hase,,,,,,m,,http://de.wikipedia.org/wiki/Feldhase,http://de.wikipedia.org/wiki/Feldhase,deu,lepuseuropaeus,,deu-saugetiere;deu-tiere
lepussaxatilis-deu-0,Buschhase,Hase,,,,,,m,,http://de.wikipedia.org/wiki/Buschhase,http://de.wikipedia.org/wiki/Buschhase,deu,lepussaxatilis,,deu-saugetiere;deu-tiere
locustamigratoriamigratorioides-deu-0,Afrikanische Wanderheuschrecke,Heuschrecke,,,,,,f,,,,deu,locustamigratoriamigratorioides,,deu-insekten;deu-wirbellose;deu-tiere
loxodontaafricana-deu-0,Afrikanischer Elefant,Elefant,,,,,,m,,http://de.wikipedia.org/wiki/Afrikanischer_Elefant,http://de.wikipedia.org/wiki/Afrikanischer_Elefant,deu,loxodontaafricana,,deu-saugetiere;deu-tiere
lycaonpictus-deu-0,Afrikanischer Wildhund,Wildhund,,,,,,m,,http://de.wikipedia.org/wiki/Afrikanischer_Wildhund,http://de.wikipedia.org/wiki/Afrikanischer_Wildhund,deu,lycaonpictus,,deu-saugetiere;deu-tiere
lycidae-deu-0,Rotdeckenkäfer,Käfer,,,,,,m,,http://de.wikipedia.org/wiki/Rotdeckenk%C3%A4fer,http://de.wikipedia.org/wiki/Rotdeckenk%C3%A4fer,deu,lycidae,,deu-insekten;deu-wirbellose;deu-tiere
lycosa-deu-0,Wolfsspinne ,Spinne,,,,,,f,,http://de.wikipedia.org/wiki/Wolfsspinnen,http://de.wikipedia.org/wiki/Wolfsspinnen,deu,lycosa,,deu-spinnentiere;deu-wirbellose;deu-tiere
macroscelidesproboscideus-deu-0,Kurzohrrüsselspringer,Rüsselspringer,,,,,,m,,http://de.wikipedia.org/wiki/Kurzohrr%C3%BCsselspringer,http://de.wikipedia.org/wiki/Kurzohrr%C3%BCsselspringer,deu,macroscelidesproboscideus,,deu-saugetiere;deu-tiere
manistemminckii-deu-0,Steppenschuppentier,Schuppentier,,,,,,n,,http://de.wikipedia.org/wiki/Steppenschuppentier,http://de.wikipedia.org/wiki/Steppenschuppentier,deu,manistemminckii,,deu-saugetiere;deu-tiere
megachile-deu-0,Mörtel- und Blattschneiderbiene,Biene,,,,,,f,,http://de.wikipedia.org/wiki/Blattschneiderbienen,http://de.wikipedia.org/wiki/Blattschneiderbienen,deu,megachile,,deu-insekten;deu-wirbellose;deu-tiere
mellivoracapensis-deu-0,Honigdachs,Honigdachs,,,,,,m,,http://de.wikipedia.org/wiki/Honigdachs,http://de.wikipedia.org/wiki/Honigdachs,deu,mellivoracapensis,,deu-saugetiere;deu-tiere
milvusmigrans-deu-0,Schwarzmilan,Milan,,,,,,m,,http://de.wikipedia.org/wiki/Schwarzmilan,http://de.wikipedia.org/wiki/Schwarzmilan,deu,milvusmigrans,,deu-vogel;deu-tiere
momordicabalsamina-deu-0,Balsamapfel,,,,,,,m,,http://commons.wikimedia.org/wiki/File:Momordica_balsamina_002.JPG,http://commons.wikimedia.org/wiki/File:Momordica_balsamina_002.JPG,deu,momordicabalsamina,,deu-pflanzen
mungosmungo-deu-0,Zebramanguste,Manguste,,,,,,f,,http://de.wikipedia.org/wiki/Zebramanguste,http://de.wikipedia.org/wiki/Zebramanguste,deu,mungosmungo,,deu-saugetiere;deu-tiere
musindutus-deu-0,Wüstenzwergmaus,Maus,,,,,,f,,,,deu,musindutus,stuartstuart2007[301],deu-saugetiere;deu-tiere
mylabris-deu-0,Ölkäfer,Käfer,,,,,,m,,http://de.wikipedia.org/wiki/%C3%96lk%C3%A4fer,http://de.wikipedia.org/wiki/%C3%96lk%C3%A4fer,deu,mylabris,,deu-insekten;deu-wirbellose;deu-tiere
mylabris-deu-1,Blasenkäfer,Käfer,,,,,,m,,http://de.wikipedia.org/wiki/%C3%96lk%C3%A4fer,http://de.wikipedia.org/wiki/%C3%96lk%C3%A4fer,deu,mylabris,,deu-insekten;deu-wirbellose;deu-tiere
mylabris-deu-2,Pflasterkäfer,Käfer,,,,,,m,,http://de.wikipedia.org/wiki/%C3%96lk%C3%A4fer,http://de.wikipedia.org/wiki/%C3%96lk%C3%A4fer,deu,mylabris,,deu-insekten;deu-wirbellose;deu-tiere
najahaje-deu-0,Uräusschlange,Uräusschlange,,,,,,f,,http://de.wikipedia.org/wiki/Ur%C3%A4usschlange,http://de.wikipedia.org/wiki/Ur%C3%A4usschlange,deu,najahaje,,deu-reptilien;deu-tiere
najanivea-deu-0,Kapkobra,Kobra,,,,,,f,,http://de.wikipedia.org/wiki/Kapkobra,http://de.wikipedia.org/wiki/Kapkobra,deu,najanivea,,deu-reptilien;deu-tiere
nectariniidae-deu-0,Nektarvogel,Nektarvogel,,,,,,m,,http://de.wikipedia.org/wiki/Nektarv%C3%B6gel,http://de.wikipedia.org/wiki/Nektarv%C3%B6gel,deu,nectariniidae,,deu-vogel;deu-tiere
nectariniidae-deu-1,Honigsauger,Honigsauger,,,,,,m,,http://de.wikipedia.org/wiki/Nektarv%C3%B6gel,http://de.wikipedia.org/wiki/Nektarv%C3%B6gel,deu,nectariniidae,,deu-vogel;deu-tiere
nepidae-deu-0,Skorpionswanze,Wanze,,,,,,f,,http://de.wikipedia.org/wiki/Skorpionswanzen,http://de.wikipedia.org/wiki/Skorpionswanzen,deu,nepidae,,deu-insekten;deu-wirbellose;deu-tiere
nycteristhebaica-deu-0,Ägyptische Schlitznase,Schlitznase,,,,,,f,,,,deu,nycteristhebaica,stuartstuart2007[301],deu-saugetiere;deu-tiere
oreotragusoreotragus-deu-0,Klippspringer,Klippspringer,,,,,,m,,http://de.wikipedia.org/wiki/Klippspringer,http://de.wikipedia.org/wiki/Klippspringer,deu,oreotragusoreotragus,,deu-saugetiere;deu-tiere
orycteropusafer-deu-0,Erdferkel,Erdferkel,,,,,,n,,,,deu,orycteropusafer,,deu-saugetiere;deu-tiere
