id,species_id,name,mime_type,src,width,height,author,date,place,comments,keywords,permission
leptoptiloscrumeniferus-0-large.jpg,leptoptiloscrumeniferus,large 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/0/02/LeptoptilosCrumeniferus01.jpg,414,599,Ltshears,25 July 2009,"Binder Park Zoo in Battle Creek, USA",,,"{""license"": [""http://creativecommons.org/licenses/by-sa/3.0/deed.en"", ""Creative Commons Attribution-ShareAlike 3.0 Unported""]}"
leptoptiloscrumeniferus-1-thumbnail.jpg,leptoptiloscrumeniferus,thumbnail 1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/4/44/LeptoptilosCrumeniferus02.jpg,800,581,unknown (User:Cacophony),06 August 2006,"Oregon Zoo, USA",,,"{""license"": [""http://creativecommons.org/licenses/by-sa/3.0/deed.en"", ""Creative Commons Attribution-ShareAlike 3.0 Unported""]}"
leptoptiloscrumeniferus-1-large.jpg,leptoptiloscrumeniferus,large 1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/4/44/LeptoptilosCrumeniferus02.jpg,800,581,unknown (User:Cacophony),06 August 2006,"Oregon Zoo, USA",,,"{""license"": [""http://creativecommons.org/licenses/by-sa/3.0/deed.en"", ""Creative Commons Attribution-ShareAlike 3.0 Unported""]}"
indigoferacharlieriana-0-thumbnail.jpg,indigoferacharlieriana,thumbnail 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/9/94/IndigoferaCharlieriana01.JPG/800px-IndigoferaCharlieriana01.JPG,800,599,Christfried Naumann,05/01/25,"Namibia, Omaheke, Pos 17",,,"{""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
indigoferacharlieriana-0-large.jpg,indigoferacharlieriana,large 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/9/94/IndigoferaCharlieriana01.JPG/800px-IndigoferaCharlieriana01.JPG,800,599,Christfried Naumann,05/01/25,"Namibia, Omaheke, Pos 17",,,"{""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
indigoferacharlieriana-1-thumbnail.jpg,indigoferacharlieriana,thumbnail 1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/b/be/IndigoferaCharlieriana02.JPG/800px-IndigoferaCharlieriana02.JPG,800,599,Christfried Naumann,05/01/25,"Namibia, Omaheke, Pos 17",,,"{""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
indigoferacharlieriana-1-large.jpg,indigoferacharlieriana,large 1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/b/be/IndigoferaCharlieriana02.JPG/800px-IndigoferaCharlieriana02.JPG,800,599,Christfried Naumann,05/01/25,"Namibia, Omaheke, Pos 17",,,"{""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-0-thumbnail.jpg,pergulariadaemia,thumbnail 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/3/35/PergulariaDaemia01.JPG/800px-PergulariaDaemia01.JPG,800,599,Christfried Naumann,05/01/25,"Namibia, Omaheke, Pos 17",,,"{""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-0-large.jpg,pergulariadaemia,large 0,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/3/35/PergulariaDaemia01.JPG/800px-PergulariaDaemia01.JPG,800,599,Christfried Naumann,05/01/25,"Namibia, Omaheke, Pos 17",,,"{""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
pergulariadaemia-1-thumbnail.jpg,pergulariadaemia,thumbnail 1,image/jpeg,https://lingweb.eva.mpg.de/tsammalex/images/thumb/e/e3/PergulariaDaemia02.JPG/448px-PergulariaDaemia02.JPG,448,599,Christfried Naumann,05/01/25,"Namibia, Omaheke, Pos 17",,,"{""license"": [""http://en.wikipedia.org/wiki/Public_domain"", ""public domain""]}"
